# time disp shear stiffness
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.0000000000e+07
1.0010010010e-02 1.8874861875e-06 9.4374309376e+01 5.0000000000e+07
2.0020020020e-02 7.5350168276e-06 3.7675084138e+02 5.0000000000e+07
3.0030030030e-02 1.6897896701e-05 8.4489483503e+02 5.0000000000e+07
4.0040040040e-02 2.9901928464e-05 1.4950964232e+03 5.0000000000e+07
5.0050050050e-02 4.6443853061e-05 2.3221926531e+03 5.0000000000e+07
6.0060060060e-02 6.6391963029e-05 3.3195981514e+03 5.0000000000e+07
7.0070070070e-02 8.9586885484e-05 4.4793442742e+03 5.0000000000e+07
8.0080080080e-02 1.1584253064e-04 5.7921265322e+03 5.0000000000e+07
9.0090090090e-02 1.4494720087e-04 7.2473600437e+03 5.0000000000e+07
1.0010010010e-01 1.7666485441e-04 8.8332427207e+03 5.0000000000e+07
1.1011011011e-01 2.1073651707e-04 1.0536825853e+04 5.0000000000e+07
1.2012012012e-01 2.4688183441e-04 1.2344091720e+04 5.0000000000e+07
1.3013013013e-01 2.8480075629e-04 1.4240037815e+04 5.0000000000e+07
1.4014014014e-01 3.2417534468e-04 1.6208767234e+04 5.0000000000e+07
1.5015015015e-01 3.6467169520e-04 1.8233584760e+04 5.0000000000e+07
1.6016016016e-01 4.0594196226e-04 2.0297098113e+04 5.0000000000e+07
1.7017017017e-01 4.4762647685e-04 2.2381323842e+04 5.0000000000e+07
1.8018018018e-01 4.8935594572e-04 2.4467797286e+04 5.0000000000e+07
1.9019019019e-01 5.3075372029e-04 2.6537686015e+04 5.0000000000e+07
2.0020020020e-01 5.7143812293e-04 2.8571906147e+04 5.0000000000e+07
2.1021021021e-01 6.1102481826e-04 3.0551240913e+04 5.0000000000e+07
2.2022022022e-01 6.4912921659e-04 3.2456460829e+04 5.0000000000e+07
2.3023023023e-01 6.8536889658e-04 3.4268444829e+04 5.0000000000e+07
2.4024024024e-01 7.1936603390e-04 3.5968301695e+04 5.0000000000e+07
2.5025025025e-01 7.5074982269e-04 3.7537491135e+04 5.0000000000e+07
2.6026026026e-01 7.7915887660e-04 3.8957943830e+04 5.0000000000e+07
2.7027027027e-01 8.0424359616e-04 4.0212179808e+04 5.0000000000e+07
2.8028028028e-01 8.2566848950e-04 4.1283424475e+04 5.0000000000e+07
2.9029029029e-01 8.4311443346e-04 4.2155721673e+04 5.0000000000e+07
3.0030030030e-01 8.5628086243e-04 4.2814043122e+04 5.0000000000e+07
3.1031031031e-01 8.6488787272e-04 4.3244393636e+04 5.0000000000e+07
3.2032032032e-01 8.6867823035e-04 4.3433911518e+04 5.0000000000e+07
3.3033033033e-01 8.6741927094e-04 4.3370963547e+04 5.0000000000e+07
3.4034034034e-01 8.6090468051e-04 4.3045234026e+04 5.0000000000e+07
3.5035035035e-01 8.4895614692e-04 4.2447807346e+04 5.0000000000e+07
3.6036036036e-01 8.3142487197e-04 4.1571243599e+04 5.0000000000e+07
3.7037037037e-01 8.0819293508e-04 4.0409646754e+04 5.0000000000e+07
3.8038038038e-01 7.7917450007e-04 3.8958725003e+04 5.0000000000e+07
3.9039039039e-01 7.4431685730e-04 3.7215842865e+04 5.0000000000e+07
4.0040040040e-01 7.0360129434e-04 3.5180064717e+04 5.0000000000e+07
4.1041041041e-01 6.5704378908e-04 3.2852189454e+04 5.0000000000e+07
4.2042042042e-01 6.0469552000e-04 3.0234776000e+04 5.0000000000e+07
4.3043043043e-01 5.4664318950e-04 2.7332159475e+04 5.0000000000e+07
4.4044044044e-01 4.8300915677e-04 2.4150457838e+04 5.0000000000e+07
4.5045045045e-01 4.1395137785e-04 2.0697568892e+04 5.0000000000e+07
4.6046046046e-01 3.3966315149e-04 1.6983157575e+04 5.0000000000e+07
4.7047047047e-01 2.6037267026e-04 1.3018633513e+04 5.0000000000e+07
4.8048048048e-01 1.7634237748e-04 8.8171188741e+03 5.0000000000e+07
4.9049049049e-01 8.7868131510e-05 4.3934065755e+03 5.0000000000e+07
5.0050050050e-01 -4.7218201317e-06 -2.3609100659e+02 5.0000000000e+07
5.1051051051e-01 -1.0106805330e-04 -5.0534026651e+03 5.0000000000e+07
5.2052052052e-01 -2.0078136200e-04 -1.0039068100e+04 5.0000000000e+07
5.3053053053e-01 -3.0344432993e-04 -1.5172216497e+04 5.0000000000e+07
5.4054054054e-01 -4.0861307252e-04 -2.0430653626e+04 5.0000000000e+07
5.5055055055e-01 -5.1581914212e-04 -2.5790957106e+04 5.0000000000e+07
5.6056056056e-01 -6.2457158839e-04 -3.1228579419e+04 5.0000000000e+07
5.7057057057e-01 -7.3435916461e-04 -3.6717958231e+04 5.0000000000e+07
