time_s,u_iso_1_m,f_iso_1_N,z_iso_1_m,u_iso_2_m,f_iso_2_N,z_iso_2_m,u_iso_3_m,f_iso_3_N,z_iso_3_m
0,0,0,0,0,0,0,0,0,0
0.01,-1.99603265596194e-07,-0.399206531192387,-1.99603265596194e-07,-2.06025700609944e-07,-0.412051401219888,-2.06025700609944e-07,-1.99603265596194e-07,-0.399206531192387,-1.99603265596194e-07
0.02,-5.59425413400783e-07,-1.11885082680157,-5.59425413400783e-07,-5.77907713052868e-07,-1.15581542610574,-5.77907713052868e-07,-5.59425413400783e-07,-1.11885082680157,-5.59425413400783e-07
0.03,-8.80081247029254e-07,-1.76016249405851,-8.80081247029254e-07,-9.10462098348522e-07,-1.82092419669704,-9.10462098348522e-07,-8.80081247029254e-07,-1.76016249405851,-8.80081247029254e-07
0.04,-1.9655468001302e-06,-3.93109328154993,-1.96554663238785e-06,-2.03379803634163e-06,-4.06759571954985,-2.03379785048194e-06,-1.9655468001302e-06,-3.93109328154993,-1.96554663238785e-06
0.05,-5.09081403995803e-06,-10.1816216055454,-5.09081063239452e-06,-5.26598761402947e-06,-10.5319680630067,-5.26598384294936e-06,-5.09081403995802e-06,-10.1816216055454,-5.09081063239452e-06
0.06,-1.05485814490171e-05,-21.0971102691204,-1.05485537495888e-05,-1.0915060791108e-05,-21.8300632677492,-1.09150300992833e-05,-1.05485814490171e-05,-21.0971102691204,-1.05485537495888e-05
0.07,-1.71863550414679e-05,-34.3725084499207,-1.71862489188283e-05,-1.78000981913644e-05,-35.599972278031,-1.77999802415235e-05,-1.71863550414679e-05,-34.3725084499207,-1.71862489188284e-05
0.08,-2.37187774613618e-05,-47.4370739946934,-2.37185243413459e-05,-2.46020541256282e-05,-49.2035712648552,-2.46017715012065e-05,-2.37187774613618e-05,-47.4370739946934,-2.37185243413459e-05
0.09,-2.94678559075599e-05,-58.9348514886371,-2.9467403104148e-05,-3.06254532699654e-05,-61.2499402090722,-3.06249446747766e-05,-2.94678559075599e-05,-58.9348514886371,-2.94674031041479e-05
0.1,-3.42759187123597e-05,-68.5505478142068,-3.42752399699846e-05,-3.57081434135976e-05,-71.4148279772216,-3.5707375597822e-05,-3.42759187123597e-05,-68.5505478142067,-3.42752399699846e-05
0.11,-3.83174037066595e-05,-76.6330668553453,-3.83164876235155e-05,-4.00275516868734e-05,-80.0531185873679,-4.00265070624635e-05,-3.83174037066595e-05,-76.6330668553453,-3.83164876235154e-05
0.12,-4.03033910190781e-05,-80.6047963195608,-4.03023459040279e-05,-4.22484465524891e-05,-84.4946070607679,-4.22472433713258e-05,-4.03033910190781e-05,-80.6047963195607,-4.03023459040278e-05
0.13,-3.8647878084312e-05,-77.2937704500286,-3.86468329692618e-05,-4.07239703674241e-05,-81.445654690638,-4.07227671862608e-05,-3.8647878084312e-05,-77.2937704500285,-3.86468329692617e-05
0.14,-3.38385512609935e-05,-67.6751168033916,-3.38375061459433e-05,-3.59411159017243e-05,-71.8799457592384,-3.5939912720561e-05,-3.38385512609935e-05,-67.6751168033916,-3.38375061459433e-05
0.15,-2.77954657993657e-05,-55.588945880136,-2.77944206843155e-05,-2.98629704723565e-05,-59.7236549005027,-2.98617672911932e-05,-2.77954657993657e-05,-55.588945880136,-2.77944206843155e-05
0.16,-2.26268649808099e-05,-45.2517442430243,-2.26258198657596e-05,-2.46499991667662e-05,-49.2977122893222,-2.46487959856029e-05,-2.26268649808099e-05,-45.2517442430243,-2.26258198657596e-05
0.17,-1.88142283270796e-05,-37.6264709355637,-1.88131832120294e-05,-2.07907055476946e-05,-41.579125051179,-2.07895023665313e-05,-1.88142283270796e-05,-37.6264709355637,-1.88131832120294e-05
0.18,-1.57767987103269e-05,-31.5516117020583,-1.57757535952766e-05,-1.76835116571772e-05,-35.3647372701443,-1.7682308476014e-05,-1.57767987103269e-05,-31.5516117020583,-1.57757535952767e-05
