time_s,ground_accel_mps2,roof_disp_m,drift_story1,drift_story2,drift_story3,mean_isolation_disp_m,total_base_shear_N
0,-0.0118996506719063,0,0,0,0,0,0
0.01,0.0103971459872,-2.59654109432908e-07,-1.59535263918898e-08,-2.11102143009879e-10,7.85084889374946e-11,-2.01744077267444e-07,-1.21046446360466
0.02,-0.0122955437734156,-7.30996028541917e-07,-4.52033063368431e-08,-1.16783675414586e-09,4.23962926977895e-10,-5.65586179951478e-07,-3.39351707970887
0.03,0.0124970974658993,-1.15895890039543e-06,-7.24424206014007e-08,-3.40302660530314e-09,1.19247417158714e-09,-8.9020819746901e-07,-5.34124918481406
0.04,0.0275625294255154,-2.59154168146483e-06,-1.62203751382727e-07,-8.10224455709133e-09,2.73808781088664e-09,-1.98829721220068e-06,-11.9297822826497
0.05,0.0397127710843374,-6.70181935987746e-06,-4.18492400918642e-07,-1.91017048338208e-08,6.3124033740504e-09,-5.14920523131517e-06,-30.8952112740975
0.06,0.0174675404375762,-1.3911886753498e-05,-8.70736387567479e-07,-4.38465909756171e-08,1.42647774920111e-08,-1.06707412297141e-05,-64.0242838059901
0.07,-0.00750431748599011,-2.27844218439313e-05,-1.4356740838348e-06,-9.16398964449516e-08,2.91234934747827e-08,-1.73909360914334e-05,-104.344989177872
0.08,0.000165217007726764,-3.17060479903708e-05,-2.01847016454891e-06,-1.70653107955944e-07,5.22218907677453e-08,-2.40132030161172e-05,-144.077719254242
0.09,-0.0240120855187925,-3.98351709311805e-05,-2.56950272028506e-06,-2.85947206361992e-07,8.2825138827027e-08,-2.98537216950284e-05,-179.119643186346
0.1,0.008983865378662,-4.69859454624317e-05,-3.07699542879544e-06,-4.38895009265555e-07,1.1794085019266e-07,-3.47533269461057e-05,-208.515923605635
0.11,-0.0240277536533128,-5.33861868857307e-05,-3.55249456239107e-06,-6.27564629972021e-07,1.52633122270534e-07,-3.88874530333975e-05,-233.319252298059
0.12,-0.0589533394406151,-5.73472155026029e-05,-3.88836550871732e-06,-8.45944437392949e-07,1.80011990817368e-07,-4.09517428635484e-05,-245.704199699889
0.13,-0.040998946430715,-5.67606860040184e-05,-3.94816875019233e-06,-1.08178487723057e-06,1.90848861125946e-07,-3.93399088453494e-05,-236.033195590695
0.14,-0.0208926888508412,-5.2169267295907e-05,-3.75449305235237e-06,-1.31707622420744e-06,1.74385622484841e-07,-3.45394061412371e-05,-207.230179366022
