time_s,u_iso_1_m,f_iso_1_N,u_iso_2_m,f_iso_2_N,u_iso_3_m,f_iso_3_N
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-1.9960326559619385e-07,-0.39920653058799876,-2.060257006099453e-07,-0.41205140055526385,-1.9960326559619047e-07,-0.399206530587992
0.02,-5.594254138125887e-07,-1.118850818462521,-5.779077134622907e-07,-1.1558154168207428,-5.594254138125847e-07,-1.1188508184625128
0.03,-8.800812486872022e-07,-1.7601624693362565,-9.10462099999733e-07,-1.8209241689448568,-8.800812486872015e-07,-1.7601624693362554
0.04,-1.9655468167084406e-06,-3.9310932866682506,-2.0337980528926385e-06,-4.067595721597249,-1.96554681670844e-06,-3.9310932866682498
0.05,-5.090814332224383e-06,-10.181622162038739,-5.2659879055744126e-06,-10.531968615040705,-5.090814332224383e-06,-10.181622162038739
0.06,-1.0548581787953116e-05,-21.097110918949866,-1.0915061127173134e-05,-21.830063908820083,-1.0548581787953116e-05,-21.097110918949866
0.07,-1.7186355134897324e-05,-34.37250860874108,-1.7800098279290694e-05,-35.59997242282892,-1.7186355134897324e-05,-34.37250860874108
0.08,-2.371877752395658e-05,-47.43707409184472,-2.460205418071663e-05,-49.203571343977934,-2.3718777523956578e-05,-47.437074091844714
0.09,-2.946785597340277e-05,-58.93485159228305,-3.062545332695501e-05,-61.24994029199599,-2.9467855973402768e-05,-58.93485159228304
0.1,-3.4275918784402454e-05,-68.55054793025042,-3.570814347613489e-05,-71.41482807123889,-3.427591878440245e-05,-68.5505479302504
0.11,-3.831740378255235e-05,-76.63306697908739,-4.0027551753295215e-05,-80.05311868915256,-3.831740378255234e-05,-76.63306697908737
0.12,-4.030339109580109e-05,-80.6047964449622,-4.2248446620401984e-05,-84.49460716553381,-4.0303391095801086e-05,-80.60479644496219
0.13,-3.864787815913956e-05,-77.29377057163914,-4.0723970434623816e-05,-81.44565479397748,-3.8647878159139594e-05,-77.2937705716392
0.14,-3.383855133178446e-05,-67.67511691692894,-3.5941115966451774e-05,-71.87994585763339,-3.383855133178421e-05,-67.67511691692845
0.15,-2.7795465864683938e-05,-55.58894598272789,-2.9862970533398466e-05,-59.72365499152677,-2.779546586468348e-05,-55.58894598272698
0.16,-2.2626865039960063e-05,-45.25174433328015,-2.4649999223485608e-05,-49.29771237170105,-2.262686503995952e-05,-45.25174433327906
0.17,-1.881422838007565e-05,-37.62647101351132,-2.0790705600006858e-05,-41.579125124743555,-1.8814228380074532e-05,-37.62647101350908
0.18,-1.5776800701283508e-05,-31.551615655927037,-1.768351391951943e-05,-35.364741763768706,-1.5776800701282237e-05,-31.551615655924497
0.19,-1.4848179025986477e-05,-29.694372305332973,-1.6706958749687377e-05,-33.41163142410459,-1.4848179025985853e-05,-29.69437230533173
0.2,-1.8527701889013338e-05,-37.0533220478296,-2.0450292470487342e-05,-40.89817990119427,-1.8527701889013226e-05,-37.05332204782938
0.21,-2.5781201979103923e-05,-51.55995585445052,-2.7866578198042624e-05,-55.730313712587616,-2.5781201979103902e-05,-51.55995585445048
