time_s,ground_accel_mps2,roof_disp_m,drift_story1,drift_story2,drift_story3,mean_isolation_disp_m,total_base_shear_N
0.0,-0.011899650671906294,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.01039714598719998,-2.596541094329075e-07,-1.5953526391889947e-08,-2.1110214300987866e-10,7.850848893752397e-11,-2.0174407726744319e-07,-1.2104644617312545
0.02,-0.012295543773415634,-7.309960285421445e-07,-4.52033062236778e-08,-1.1678367526510776e-09,4.2396292642432364e-10,-5.65586180362488e-07,-3.393517053745777
0.03,0.012497097465899255,-1.1589589003968451e-06,-7.244242014825809e-08,-3.4030265952843295e-09,1.192474167949952e-09,-8.902081991247122e-07,-5.341249107617369
0.04,0.027562529425515382,-2.5915416814764315e-06,-1.6220374683569043e-07,-8.102244475008778e-09,2.7380877810903763e-09,-1.9882972287698396e-06,-11.92978229493375
0.05,0.03971277108433735,-6.701819360060893e-06,-4.184923206451193e-07,-1.91017035808372e-08,6.31240291489149e-09,-5.149205523341059e-06,-30.895212939118185
0.06,0.01746754043757621,-1.3911886754056366e-05,-8.707362966378054e-07,-4.384658664053119e-08,1.4264775955212898e-08,-1.0670741567693121e-05,-64.02428574671981
0.07,-0.007504317485990107,-2.2784421844684724e-05,-1.4356740639562194e-06,-9.163988844202429e-08,2.9123490827055592e-08,-1.7390936183028446e-05,-104.34498964031107
0.08,0.00016521700772676443,-3.170604799080127e-05,-2.0184701557634393e-06,-1.706530969416356e-07,5.2221887540813255e-08,-2.401320307620993e-05,-144.07771952766737
0.09,-0.02401208551879253,-3.9835170930687614e-05,-2.569502712733292e-06,-2.8594719313326467e-07,8.282513565338093e-08,-2.985372175792018e-05,-179.1196434765621
0.1,0.008983865378662002,-4.6985945460404945e-05,-3.0769954212251402e-06,-4.3889499469022395e-07,1.1794084774174975e-07,-3.475332701497993e-05,-208.51592393173968
0.11,-0.02402775365331278,-5.338618688162131e-05,-3.552494555012943e-06,-6.275646149183522e-07,1.5263312118462677e-07,-3.8887453106133304e-05,-233.31925264732732
0.12,-0.058953339440615114,-5.73472154959897e-05,-3.888365501947983e-06,-8.459444226642805e-07,1.8001199165254828e-07,-4.095174293733473e-05,-245.70420005545822
0.13,-0.04099894643071499,-5.67606859946615e-05,-3.948168744411605e-06,-1.0817848635099632e-06,1.908488643029092e-07,-3.9339908917634324e-05,-236.0331959372558
0.14,-0.020892688850841227,-5.216926728378569e-05,-3.7544930478421016e-06,-1.3170762120162367e-06,1.7438562825309605e-07,-3.4539406210006816e-05,-207.23017969149078
0.15,0.015888281726802334,-4.595716724597412e-05,-3.441920489922219e-06,-1.5321860700252445e-06,1.2062512706260494e-07,-2.8484634087588632e-05,-170.90154695698163
0.16,0.027792345259380475,-4.0765554456847006e-05,-3.1631353238535786e-06,-1.7109308633003124e-06,2.286858834501829e-08,-2.3301243101135064e-05,-139.80120103826027
0.17,-0.010061917324252437,-3.715674857075911e-05,-2.9479088972794046e-06,-1.8433392320736264e-06,-1.2088921806551478e-07,-1.9473054120052347e-05,-116.83206715176397
0.18,0.02266060975101244,-3.434296580691336e-05,-2.747392665162918e-06,-1.9252729692426145e-06,-3.08054930284735e-07,-1.6412371774028393e-05,-98.46797307562024
0.19,0.06454081437443535,-3.4044752538631644e-05,-2.6698310740313213e-06,-1.959037333885705e-06,-5.314038896973464e-07,-1.5467772267219902e-05,-92.80037603476929
0.2,0.08023200485213007,-3.954123763568811e-05,-2.9241132414183023e-06,-1.9566309909104795e-06,-7.783313842036651e-07,-1.91685654161713e-05,-115.00482399685326
0.21,-0.04174838900436566,-4.958449707853129e-05,-3.4478326696660848e-06,-1.9391947525875504e-06,-1.0319086036114968e-06,-2.6476327385416813e-05,-158.85022542148863
0.22,-0.05125612044402045,-5.820703138154917e-05,-3.890976265303484e-06,-1.928783206544019e-06,-1.275054353041062e-06,-3.2665701611950334e-05,-195.9849625821326
0.23,-0.014783554286364128,-6.278358594484292e-05,-4.103665860072129e-06,-1.9406636267186646e-06,-1.4943362812731652e-06,-3.564438917981267e-05,-213.85622394770417
0.24,-0.03224536792160777,-6.445666120332019e-05,-4.161499753775132e-06,-1.982441795083367e-06,-1.6808218700618118e-06,-3.6287512895207066e-05,-217.7147728805828
0.25,-0.06471534549314195,-6.245027094541065e-05,-4.01858727206878e-06,-2.054295284089771e-06,-1.8302127058505804e-06,-3.399912800217778e-05,-203.9844635224071
0.26,-0.06448900044856933,-5.471426669896614e-05,-3.545821053678874e-06,-2.146880423921722e-06,-1.9435686015598513e-06,-2.7223694413988527e-05,-163.3318619932716
0.27,0.02003198268901511,-4.2569984533259435e-05,-2.8149443273109804e-06,-2.242154057785928e-06,-2.0265736338301166e-06,-1.7068765265122145e-05,-102.40228710007332
0.28,0.05180971133616796,-3.104814986732367e-05,-2.1228944846963483e-06,-2.3202138293733847e-06,-2.0862958294701103e-06,-7.542294950580232e-06,-45.243465212821825
0.29,0.048163399270916916,-2.3755724833885687e-05,-1.682589046346605e-06,-2.3668122607268453e-06,-2.127776342543072e-06,-1.5178852952662072e-06,-9.097007280937675
0.3,-0.02826387677611337,-1.9387280397288968e-05,-1.410794259113629e-06,-2.3746700202356102e-06,-2.1532525928377175e-06,1.9921003425840768e-06,11.962903084104664
