time_s,iso1_disp_m,iso1_force_N,iso1_z_m,iso2_disp_m,iso2_force_N,iso2_z_m,iso3_disp_m,iso3_force_N,iso3_z_m
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-02,-1.996032655962e-07,-3.992065305880e-01,-1.996032652781e-07,-2.060257006099e-07,-4.120514005553e-01,-2.060257002601e-07,-1.996032655962e-07,-3.992065305880e-01,-1.996032652781e-07
2.000000000000e-02,-5.594254134036e-07,-1.118850817645e+00,-5.594254085812e-07,-5.779077130557e-07,-1.155815416007e+00,-5.779077077378e-07,-5.594254134036e-07,-1.118850817645e+00,-5.594254085812e-07
3.000000000000e-02,-8.800812472884e-07,-1.760162466539e+00,-8.800812325314e-07,-9.104620986053e-07,-1.820924166156e+00,-9.104620822608e-07,-8.800812472884e-07,-1.760162466539e+00,-8.800812325314e-07
4.000000000000e-02,-1.965546800255e-06,-3.931093253761e+00,-1.965546617756e-06,-2.033798036462e-06,-4.067595688736e+00,-2.033797834258e-06,-1.965546800255e-06,-3.931093253761e+00,-1.965546617756e-06
5.000000000000e-02,-5.090814019231e-06,-1.018162153605e+01,-5.090810596911e-06,-5.265987593328e-06,-1.053196799055e+01,-5.265983805903e-06,-5.090814019231e-06,-1.018162153605e+01,-5.090810596911e-06
6.000000000000e-02,-1.054858142533e-05,-2.109711019371e+01,-1.054855371115e-05,-1.091506076759e-05,-2.183006318967e+01,-1.091503005942e-05,-1.054858142533e-05,-2.109711019371e+01,-1.054855371115e-05
7.000000000000e-02,-1.718635503790e-05,-3.437250841475e+01,-1.718624890051e-05,-1.780009818816e-05,-3.559997224057e+01,-1.779998022198e-05,-1.718635503790e-05,-3.437250841475e+01,-1.718624890051e-05
8.000000000000e-02,-2.371877746059e-05,-4.743707396511e+01,-2.371852432582e-05,-2.460205412534e-05,-4.920357123323e+01,-2.460177148458e-05,-2.371877746059e-05,-4.743707396511e+01,-2.371852432582e-05
9.000000000000e-02,-2.946785590686e-05,-5.893485145920e+01,-2.946740308869e-05,-3.062545326981e-05,-6.124994017772e+01,-3.062494465828e-05,-2.946785590686e-05,-5.893485145920e+01,-2.946740308869e-05
1.000000000000e-01,-3.427591871151e-05,-6.855054778448e+01,-3.427523995438e-05,-3.570814341331e-05,-7.141482794559e+01,-3.570737558119e-05,-3.427591871151e-05,-6.855054778448e+01,-3.427523995438e-05
1.100000000000e-01,-3.831740370586e-05,-7.663306682571e+01,-3.831648760796e-05,-4.002755168658e-05,-8.005311855573e+01,-4.002650704583e-05,-3.831740370586e-05,-7.663306682571e+01,-3.831648760796e-05
1.200000000000e-01,-4.030339101856e-05,-8.060479629049e+01,-4.030234588875e-05,-4.224844655239e-05,-8.449460702952e+01,-4.224724335488e-05,-4.030339101856e-05,-8.060479629049e+01,-4.030234588875e-05
1.300000000000e-01,-3.864787808427e-05,-7.729377042192e+01,-3.864683295447e-05,-4.072397036768e-05,-8.144565466010e+01,-4.072276717017e-05,-3.864787808427e-05,-7.729377042192e+01,-3.864683295447e-05
1.400000000000e-01,-3.383855126158e-05,-6.767511677653e+01,-3.383750613177e-05,-3.594111590246e-05,-7.187994572965e+01,-3.593991270495e-05,-3.383855126158e-05,-6.767511677653e+01,-3.383750613177e-05
1.500000000000e-01,-2.779546580066e-05,-5.558894585469e+01,-2.779442067086e-05,-2.986297047364e-05,-5.972365487203e+01,-2.986176727614e-05,-2.779546580066e-05,-5.558894585469e+01,-2.779442067086e-05
1.600000000000e-01,-2.262686498284e-05,-4.525174421905e+01,-2.262581985304e-05,-2.464999916864e-05,-4.929771226201e+01,-2.464879597113e-05,-2.262686498284e-05,-4.525174421905e+01,-2.262581985304e-05
1.700000000000e-01,-1.881422832982e-05,-3.762647091300e+01,-1.881318320001e-05,-2.079070555014e-05,-4.157912502501e+01,-2.078950235263e-05,-1.881422832982e-05,-3.762647091300e+01,-1.881318320001e-05
1.800000000000e-01,-1.577680065718e-05,-3.155161556772e+01,-1.577575552737e-05,-1.768351387418e-05,-3.536474167309e+01,-1.768231067667e-05,-1.577680065718e-05,-3.155161556772e+01,-1.577575552737e-05
1.900000000000e-01,-1.484817898681e-05,-2.969437222698e+01,-1.484713385700e-05,-1.670695870802e-05,-3.341163134077e+01,-1.670575551051e-05,-1.484817898681e-05,-2.969437222698e+01,-1.484713385700e-05
2.000000000000e-01,-1.852769728557e-05,-3.705331284112e+01,-1.852660163819e-05,-2.045028727220e-05,-4.089816950485e+01,-2.044902146191e-05,-1.852769728557e-05,-3.705331284112e+01,-1.852660163819e-05
2.100000000000e-01,-2.578119638432e-05,-5.155994466526e+01,-2.577990790886e-05,-2.786657193942e-05,-5.573030119583e+01,-2.786507579047e-05,-2.578119638432e-05,-5.155994466526e+01,-2.577990790886e-05
2.200000000000e-01,-3.192539137924e-05,-6.384785876227e+01,-3.192385243387e-05,-3.414631750904e-05,-6.828923592129e+01,-3.414452851073e-05,-3.192539137924e-05,-6.384785876227e+01,-3.192385243387e-05
2.300000000000e-01,-3.488482459592e-05,-6.976645150916e+01,-3.488314160504e-05,-3.716351545356e-05,-7.432331514153e+01,-3.716155978746e-05,-3.488482459592e-05,-6.976645150916e+01,-3.488314160504e-05
2.400000000000e-01,-3.552307411660e-05,-7.104288934604e+01,-3.552135891283e-05,-3.781637853134e-05,-7.562897034752e+01,-3.781438552336e-05,-3.552307411660e-05,-7.104288934604e+01,-3.552135891283e-05
2.500000000000e-01,-3.325002280565e-05,-6.649678672413e+01,-3.324830760188e-05,-3.549732427867e-05,-7.099086184218e+01,-3.549533127069e-05,-3.325002280565e-05,-6.649678672413e+01,-3.324830760188e-05
2.600000000000e-01,-2.652861810602e-05,-5.305397732487e+01,-2.652690290225e-05,-2.861384074313e-05,-5.722389477111e+01,-2.861184773516e-05,-2.652861810602e-05,-5.305397732487e+01,-2.652690290225e-05
2.700000000000e-01,-1.645991141738e-05,-3.291656394761e+01,-1.645819621361e-05,-1.828646766690e-05,-3.656914861864e+01,-1.828447465892e-05,-1.645991141738e-05,-3.291656394761e+01,-1.645819621361e-05
2.800000000000e-01,-7.015988033549e-06,-1.402871717994e+01,-7.014272829780e-06,-8.594903496958e-06,-1.718602027876e+01,-8.592910488981e-06,-7.015988033549e-06,-1.402871717994e+01,-7.014272829780e-06
2.900000000000e-01,-1.044724184552e-06,-2.086189481943e+00,-1.043008980783e-06,-2.464202231994e-06,-4.924617748831e+00,-2.462209224017e-06,-1.044724184552e-06,-2.086189481943e+00,-1.043008980783e-06
3.000000000000e-01,2.429335496959e-06,4.861928320670e+00,2.431049879460e-06,1.117635013949e-06,2.239056401809e+00,1.119627842323e-06,2.429335496959e-06,4.861928320670e+00,2.431049879460e-06
3.100000000000e-01,7.159221846195e-06,1.432168258586e+01,7.160926526967e-06,6.025579028867e-06,1.205493087985e+01,6.027564724716e-06,7.159221846195e-06,1.432168258586e+01,7.160926526967e-06
3.200000000000e-01,1.560327159903e-05,3.120962581778e+01,1.560489403046e-05,1.480249494758e-05,2.960861652064e+01,1.480440369783e-05,1.560327159903e-05,3.120962581778e+01,1.560489403046e-05
3.300000000000e-01,2.579794299508e-05,5.159845290355e+01,2.579929400213e-05,2.543300947846e-05,5.086912292250e+01,2.543464314455e-05,2.579794299508e-05,5.159845290355e+01,2.579929400213e-05
3.400000000000e-01,3.407395141496e-05,6.814973943850e+01,3.407491805105e-05,3.413888628558e-05,6.828010535623e+01,3.414011406719e-05,3.407395141496e-05,6.814973943850e+01,3.407491805105e-05
3.500000000000e-01,3.933760486092e-05,7.867642727310e+01,3.933824567737e-05,3.979080982916e-05,7.958327230950e+01,3.979167964557e-05,3.933760486092e-05,7.867642727310e+01,3.933824567737e-05
3.600000000000e-01,4.212003533962e-05,8.424091306361e+01,4.212047869981e-05,4.292861938214e-05,8.585845192756e+01,4.292925788913e-05,4.212003533962e-05,8.424091306361e+01,4.212047869981e-05
3.700000000000e-01,4.241121257499e-05,8.482322772905e+01,4.241163498502e-05,4.352901777935e-05,8.705916226049e+01,4.352961078029e-05,4.241121257499e-05,8.482322772905e+01,4.241163498502e-05
3.800000000000e-01,3.913879659274e-05,7.827839576454e+01,3.913921900277e-05,4.046824655845e-05,8.093761981869e+01,4.046883955939e-05,3.913879659274e-05,7.827839576454e+01,3.913921900277e-05
3.900000000000e-01,3.226027349407e-05,6.452134956720e+01,3.226069590410e-05,3.368029842246e-05,6.736172354671e+01,3.368089142340e-05,3.226027349407e-05,6.452134956720e+01,3.226069590410e-05
4.000000000000e-01,2.647349321767e-05,5.294778901440e+01,2.647391562770e-05,2.798950729792e-05,5.598014129763e+01,2.799010029886e-05,2.647349321767e-05,5.294778901440e+01,2.647391562770e-05
