time_s,ground_accel_m_per_s2,roof_displacement_m,story_1_drift_ratio,story_2_drift_ratio,story_3_drift_ratio,isolation_displacement_m,total_base_shear_N
0.000000000000e+00,-1.189965067191e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-02,1.039714598720e-02,-2.596541094329e-07,-1.595352639189e-08,-2.111021430099e-10,7.850848893749e-11,-2.017440772674e-07,-1.210464461731e+00
2.000000000000e-02,-1.229554377342e-02,-7.309960285419e-07,-4.520330633606e-08,-1.167836754136e-09,4.239629269741e-10,-5.655861799543e-07,-3.393517051297e+00
3.000000000000e-02,1.249709746590e-02,-1.158958900396e-06,-7.244242053029e-08,-3.403026604336e-09,1.192474171230e-09,-8.902081977273e-07,-5.341249099233e+00
4.000000000000e-02,2.756252942552e-02,-2.591541681465e-06,-1.622037513505e-07,-8.102244554091e-09,2.738087809824e-09,-1.988297212324e-06,-1.192978219626e+01
5.000000000000e-02,3.971277108434e-02,-6.701819359866e-06,-4.184924066266e-07,-1.910170490431e-08,6.312403400381e-09,-5.149205210597e-06,-3.089521106266e+01
6.000000000000e-02,1.746754043758e-02,-1.391188675346e-05,-8.707363939400e-07,-4.384659125698e-08,1.426477759308e-08,-1.067074120609e-05,-6.402428357709e+01
7.000000000000e-02,-7.504317485990e-03,-2.278442184388e-05,-1.435674084428e-06,-9.163989696936e-08,2.912349365030e-08,-1.739093608799e-05,-1.043449890701e+02
8.000000000000e-02,1.652170077268e-04,-3.170604799034e-05,-2.018470164214e-06,-1.706531086594e-07,5.222189097497e-08,-2.401320301551e-05,-1.440777191635e+02
9.000000000000e-02,-2.401208551879e-02,-3.983517093122e-05,-2.569502719818e-06,-2.859472071735e-07,8.282513901835e-08,-2.985372169451e-05,-1.791196430961e+02
1.000000000000e-01,8.983865378662e-03,-4.698594546257e-05,-3.076995428298e-06,-4.388950101127e-07,1.179408503206e-07,-3.475332694544e-05,-2.085159235145e+02
1.100000000000e-01,-2.402775365331e-02,-5.338618688601e-05,-3.552494561850e-06,-6.275646307863e-07,1.526331222926e-07,-3.888745303277e-05,-2.333192522072e+02
1.200000000000e-01,-5.895333944062e-02,-5.734721550303e-05,-3.888365508104e-06,-8.459444381145e-07,1.800119907001e-07,-4.095174286317e-05,-2.457041996105e+02
1.300000000000e-01,-4.099894643071e-02,-5.676068600461e-05,-3.948168749481e-06,-1.081784877812e-06,1.908488608479e-07,-3.933990884541e-05,-2.360331955039e+02
1.400000000000e-01,-2.089268885084e-02,-5.216926729665e-05,-3.754493051529e-06,-1.317076224616e-06,1.743856220389e-07,-3.453940614187e-05,-2.072301792827e+02
1.500000000000e-01,1.588828172680e-02,-4.595716726151e-05,-3.441920492057e-06,-1.532186080571e-06,1.206251180384e-07,-2.848463402499e-05,-1.709015465814e+02
1.600000000000e-01,2.779234525938e-02,-4.076555447456e-05,-3.163135324402e-06,-1.710930871651e-06,2.286857666913e-08,-2.330124304477e-05,-1.398012007001e+02
1.700000000000e-01,-1.006191732425e-02,-3.715674858991e-05,-2.947908896335e-06,-1.843339238287e-06,-1.208892320401e-07,-1.947305406992e-05,-1.168320668510e+02
1.800000000000e-01,2.266060975101e-02,-3.434296582657e-05,-2.747392662927e-06,-1.925272973550e-06,-3.080549460395e-07,-1.641237172951e-05,-9.846797280853e+01
1.900000000000e-01,6.454081437444e-02,-3.404475255773e-05,-2.669831070791e-06,-1.959037336653e-06,-5.314039065899e-07,-1.546777222721e-05,-9.280037579474e+01
2.000000000000e-01,8.023200485213e-02,-3.954123765048e-05,-2.924114549433e-06,-1.956631009877e-06,-7.783313951437e-07,-1.916856061445e-05,-1.150047951871e+02
2.100000000000e-01,-4.174838900437e-02,-4.958449708418e-05,-3.447834225450e-06,-1.939194820880e-06,-1.031908596678e-06,-2.647632156935e-05,-1.588501905264e+02
2.200000000000e-01,-5.125612044402e-02,-5.820703137960e-05,-3.890976585567e-06,-1.928783335258e-06,-1.275054326516e-06,-3.266570008918e-05,-1.959849534458e+02
2.300000000000e-01,-1.478355428636e-02,-6.278358594272e-05,-4.103665986857e-06,-1.940663805367e-06,-1.494336243217e-06,-3.564438821513e-05,-2.138562181599e+02
2.400000000000e-01,-3.224536792161e-02,-6.445666120834e-05,-4.161500676240e-06,-1.982442021536e-06,-1.680821826342e-06,-3.628750892151e-05,-2.177147490396e+02
2.500000000000e-01,-6.471534549314e-02,-6.245027096461e-05,-4.018588349849e-06,-2.054295564494e-06,-1.830212660090e-06,-3.399912329665e-05,-2.039844352904e+02
2.600000000000e-01,-6.448900044857e-02,-5.471426674257e-05,-3.545821359379e-06,-2.146880750540e-06,-1.943568563464e-06,-2.722369231839e-05,-1.633318494209e+02
2.700000000000e-01,2.003198268902e-02,-4.256998461323e-05,-2.814944502988e-06,-2.242154410391e-06,-2.026573617919e-06,-1.706876350055e-05,-1.024022765138e+02
2.800000000000e-01,5.180971133617e-02,-3.104814999373e-05,-2.122894630870e-06,-2.320214188147e-06,-2.086295849238e-06,-7.542293188019e-06,-4.524345463863e+01
2.900000000000e-01,4.816339927092e-02,-2.375572501353e-05,-1.682589171965e-06,-2.366812607691e-06,-2.127776409184e-06,-1.517883533699e-06,-9.096996712718e+00
3.000000000000e-01,-2.826387677611e-02,-1.938728063261e-05,-1.410794344144e-06,-2.374670340226e-06,-2.153252714305e-06,1.992102002622e-06,1.196291304315e+01
