time_s,iso1_disp_m,iso1_force_N,iso1_z_m,iso2_disp_m,iso2_force_N,iso2_z_m,iso3_disp_m,iso3_force_N,iso3_z_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-1.9960326562507717e-07,-0.39920653064576544,-1.9960326530697774e-07,-2.0602570063857032e-07,-0.4120514006125139,-2.0602570028876678e-07,-1.9960326562507715e-07,-0.3992065306457654,-1.996032653069777e-07
0.02,-5.594254138476943e-07,-1.1188508185327322,-5.594254090252435e-07,-5.779077134968956e-07,-1.1558154168899524,-5.779077081790858e-07,-5.594254138476942e-07,-1.118850818532732,-5.594254090252434e-07
0.03,-8.800812486963874e-07,-1.7601624693546272,-8.800812339394676e-07,-9.104621000083451e-07,-1.8209241689620808,-9.104620836638138e-07,-8.800812486963873e-07,-1.760162469354627,-8.800812339394675e-07
0.04,-1.965546816714303e-06,-3.931093286679975,-1.9655466342150236e-06,-2.0337980528977597e-06,-4.067595721607491,-2.033797850693534e-06,-1.9655468167143025e-06,-3.931093286679974,-1.965546634215023e-06
0.05,-5.09081433223052e-06,-10.181622162051015,-5.090810909909454e-06,-5.265987905579681e-06,-10.531968615051243,-5.265984118154355e-06,-5.090814332230522e-06,-10.181622162051019,-5.090810909909456e-06
0.06,-1.0548581787959857e-05,-21.09711091896335,-1.0548554073772296e-05,-1.0915061127178943e-05,-21.830063908831704,-1.0915030419007268e-05,-1.0548581787959857e-05,-21.09711091896335,-1.0548554073772296e-05
0.07,-1.718635513490444e-05,-34.37250860875531,-1.7186248997507828e-05,-1.7800098279296877e-05,-35.59997242284129,-1.7799980313111368e-05,-1.7186355134904436e-05,-34.372508608755304,-1.718624899750782e-05
0.08,-2.3718777523963767e-05,-47.4370740918591,-2.3718524389190906e-05,-2.4602054180722953e-05,-49.203571343990575,-2.460177153995699e-05,-2.371877752396376e-05,-47.43707409185909,-2.3718524389190903e-05
0.09,-2.9467855973409758e-05,-58.93485159229702,-2.9467403155240024e-05,-3.062545332696125e-05,-61.249940292008475,-3.0624944715427554e-05,-2.9467855973409755e-05,-58.934851592297015,-2.946740315524002e-05
