time_s,ground_accel_m_per_s2,roof_displacement_m,story_1_drift_ratio,story_2_drift_ratio,story_3_drift_ratio,isolation_displacement_m,total_base_shear_N
0.0,-0.011899650671906294,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.01039714598719998,-2.596541094329233e-07,-1.5953526383960743e-08,-2.1110214290513185e-10,7.850848889871634e-11,-2.0174407729624154e-07,-1.2104644619040448
0.02,-0.012295543773415634,-7.309960285421983e-07,-4.520330621424871e-08,-1.1678367522438254e-09,4.239629262785928e-10,-5.655861803974282e-07,-3.3935170539554167
0.03,0.012497097465899255,-1.158958900396921e-06,-7.244242014629589e-08,-3.4030265945102353e-09,1.1924741676910189e-09,-8.902081991337065e-07,-5.341249107671334
0.04,0.027562529425515382,-2.5915416814764785e-06,-1.6220374683489903e-07,-8.10224447393387e-09,2.7380877807708567e-09,-1.988297228775455e-06,-11.92978229496744
0.05,0.03971277108433735,-6.7018193600608516e-06,-4.184923206444614e-07,-1.910170357954171e-08,6.3124029145743234e-09,-5.149205523346908e-06,-30.895212939153275
0.06,0.01746754043757621,-1.3911886754056177e-05,-8.707362966371475e-07,-4.384658663910159e-08,1.4264775954964437e-08,-1.0670741567699552e-05,-64.02428574675841
0.07,-0.007504317485990107,-2.2784421844684327e-05,-1.4356740639555803e-06,-9.163988844054857e-08,2.9123490826941712e-08,-1.7390936183035253e-05,-104.34498964035191
0.08,0.00016521700772676443,-3.170604799080063e-05,-2.0184701557628612e-06,-1.706530969401919e-07,5.222188754088666e-08,-2.4013203076216828e-05,-144.07771952770878
0.09,-0.02401208551879253,-3.9835170930686706e-05,-2.569502712732813e-06,-2.859471931319226e-07,8.282513565368398e-08,-2.985372175792692e-05,-179.1196434766025
0.1,0.008983865378662002,-4.698594546040377e-05,-3.0769954212247904e-06,-4.388949946890362e-07,1.1794084774230502e-07,-3.4753327014986295e-05,-208.51592393177793
0.11,-0.02402775365331278,-5.3386186881619887e-05,-3.5524945550127336e-06,-6.275646149173527e-07,1.5263312118544368e-07,-3.888745310613917e-05,-233.31925264736253
0.12,-0.058953339440615114,-5.7347215495988063e-05,-3.888365501947923e-06,-8.459444226634843e-07,1.8001199165361555e-07,-4.095174293734001e-05,-245.70420005548996
0.13,-0.04099894643071499,-5.676068599465972e-05,-3.948168744411688e-06,-1.0817848635093683e-06,1.908488643041948e-07,-3.933990891763901e-05,-236.03319593728395
0.14,-0.020892688850841227,-5.216926728378385e-05,-3.7544930478422727e-06,-1.3170762120158208e-06,1.7438562825455107e-07,-3.45394062100111e-05,-207.23017969151644
0.15,0.015888281726802334,-4.595716724597233e-05,-3.441920489922458e-06,-1.5321860700249735e-06,1.2062512706417102e-07,-2.848463408759259e-05,-170.9015469570054
0.16,0.027792345259380475,-4.076555445684535e-05,-3.163135323853875e-06,-1.710930863300145e-06,2.2868588346633297e-08,-2.330124310113876e-05,-139.80120103828244
0.17,-0.010061917324252437,-3.7156748570757716e-05,-2.9479088972796888e-06,-1.8433392320735144e-06,-1.2088921806392236e-07,-1.9473054120056064e-05,-116.83206715178628
0.18,0.02266060975101244,-3.434296580691232e-05,-2.7473926651631882e-06,-1.925272969242512e-06,-3.0805493028323103e-07,-1.6412371774032168e-05,-98.46797307564287
0.19,0.06454081437443535,-3.404475253863107e-05,-2.6698310740316177e-06,-1.9590373338855725e-06,-5.31403889695993e-07,-1.546777226722361e-05,-92.80037603479153
0.2,0.08023200485213007,-3.954123763568807e-05,-2.924113241418591e-06,-1.9566309909102906e-06,-7.783313842025074e-07,-1.916856541617507e-05,-115.00482399687584
0.21,-0.04174838900436566,-4.958449707853184e-05,-3.4478326696663156e-06,-1.939194752587287e-06,-1.0319086036105689e-06,-2.647632738542082e-05,-158.85022542151265
0.22,-0.05125612044402045,-5.820703138155035e-05,-3.89097626530364e-06,-1.9287832065436765e-06,-1.2750543530403863e-06,-3.2665701611954624e-05,-195.9849625821583
0.23,-0.014783554286364128,-6.278358594484477e-05,-4.103665860072216e-06,-1.9406636267182525e-06,-1.4943362812727474e-06,-3.564438917981719e-05,-213.85622394773134
0.24,-0.03224536792160777,-6.445666120332268e-05,-4.16149975377516e-06,-1.982441795082908e-06,-1.6808218700616405e-06,-3.628751289521173e-05,-217.71477288061078
0.25,-0.06471534549314195,-6.245027094541378e-05,-4.0185872720687125e-06,-2.054295284089293e-06,-1.830212705850637e-06,-3.399912800218267e-05,-203.9844635224364
0.26,-0.06448900044856933,-5.4714266698969886e-05,-3.545821053678841e-06,-2.1468804239212648e-06,-1.9435686015601054e-06,-2.7223694413993125e-05,-163.33186199329919
0.27,0.02003198268901511,-4.2569984533263765e-05,-2.8149443273111447e-06,-2.2421540577855307e-06,-2.0265736338305325e-06,-1.7068765265125815e-05,-102.40228710009531
0.28,0.05180971133616796,-3.1048149867328533e-05,-2.1228944846965376e-06,-2.3202138293730866e-06,-2.0862958294706473e-06,-7.542294950583555e-06,-45.243465212841755
0.29,0.048163399270916916,-2.3755724833891044e-05,-1.6825890463467442e-06,-2.3668122607266805e-06,-2.1277763425436924e-06,-1.5178852952694228e-06,-9.097007280956968
0.3,-0.02826387677611337,-1.9387280397294765e-05,-1.4107942591138022e-06,-2.374670020235606e-06,-2.1532525928383853e-06,1.992100342581293e-06,11.962903084087962
0.31,-0.06744016300124463,-1.3049596633007502e-05,-1.0062971876360913e-06,-2.338237180131406e-06,-2.1640591775329563e-06,6.781340130074132e-06,40.698291390677966
0.32,-0.042490146258868725,-1.5037403084481044e-06,-2.6702857795223995e-07,-2.2481945002845013e-06,-2.1625785370949755e-06,1.5336345506746077e-05,92.02786490660469
0.33,0.045324293629683925,1.2779400721358567e-05,6.617072791245596e-07,-2.0927025335831297e-06,-2.1514760361154844e-06,2.5676297367425164e-05,154.06602199833839
0.34,0.03279846298671351,2.5099326905953985e-05,1.4960631883397115e-06,-1.8641581296805473e-06,-2.1308684981325264e-06,3.409559528805809e-05,204.57957773215387
0.35000000000000003,0.02676201666656137,3.404660009163052e-05,2.1484242985942934e-06,-1.5633539362060851e-06,-2.0967570656459914e-06,3.948867222335854e-05,236.93612109549738
0.36,0.025638968416929385,4.027519984211339e-05,2.6530098847837593e-06,-1.19866453947961e-06,-2.0416683066410132e-06,4.23895625029261e-05,254.34027295119984
0.37,0.03755294849034313,4.3705119210605935e-05,2.996158916096349e-06,-7.844349928019138e-07,-1.9558063756460116e-06,4.278381603907161e-05,256.705628094861
0.38,0.07495095103012997,4.284533875814184e-05,3.0752233468801045e-06,-3.409981658943502e-07,-1.8277279924456693e-06,3.958194887939753e-05,237.49442513681657
0.39,-0.0036240742224272027,3.750357262239364e-05,2.8644804658825474e-06,1.058714524153162e-07,-1.6453637383844942e-06,3.273361517470551e-05,196.40442290866437
0.4,-0.12170868063760024,3.362701644380596e-05,2.714356831322711e-06,5.318346390739889e-07,-1.3994732794038203e-06,2.6978830956231593e-05,161.87571759782094
0.41000000000000003,-0.1128628782987219,3.8844610169517684e-05,3.0855692036460404e-06,9.256836615876987e-07,-1.0886150479521575e-06,2.832311402730399e-05,169.9411684759896
0.42,-0.01092054101250308,5.308447903699904e-05,3.978657872182686e-06,1.2935570068454895e-06,-7.206083363626777e-07,3.669869548340325e-05,220.19207921492142
0.43,0.043947877761702295,6.962475004320106e-05,4.993772030467979e-06,1.6509269366371505e-06,-3.0877493992965365e-07,4.681542354536935e-05,280.88738185214714
0.44,0.11383569095469452,8.14054423451474e-05,5.709465237803616e-06,2.0106391212964397e-06,1.334400588049892e-07,5.3132682440689244e-05,318.78685962232794
0.45,0.0330979425199487,8.55677399993279e-05,5.955857146383254e-06,2.375789839752904e-06,5.957429228399445e-07,5.3429136327013934e-05,320.56538628531075
0.46,-0.022808787662448433,8.578760680597173e-05,5.957974257922831e-06,2.741758643691922e-06,1.0704360404794668e-06,5.061499861443254e-05,303.6805600098224
0.47000000000000003,-0.03521190111257827,8.716888184743037e-05,6.027886077654004e-06,3.1036165119929874e-06,1.5496868436802308e-06,4.871659988745237e-05,292.29016764794136
0.48,-0.048981513889854125,9.204589095084132e-05,6.311017941986045e-06,3.4609964410817176e-06,2.023889410885094e-06,4.9580637292611034e-05,297.4739033267376
0.49,0.010765099234905012,9.989405991429984e-05,6.780531959665987e-06,3.818051404626005e-06,2.482081272592422e-06,5.280366722151595e-05,316.81002535293004
0.5,-0.011392469190869404,0.00010859856175834426,7.31297940771621e-06,4.180307144779165e-06,2.913623612190023e-06,5.6733685165476825e-05,340.38723754423074
0.51,0.022034578528060855,0.00011691795865719794,7.836963791978628e-06,4.551647231564626e-06,3.309768068373009e-06,6.0403793926299395e-05,362.4048241178817
0.52,0.004494201098047144,0.00012415849166514325,8.312415650767568e-06,4.9328484921872635e-06,3.664485824426761e-06,6.328339178256952e-05,379.6797686688782
0.53,-0.05760493780049406,0.00013190169954280102,8.836466118889398e-06,5.3225345998261766e-06,3.974220337672885e-06,6.662210373980256e-05,399.7086451101044
0.54,0.07346470947239404,0.0001404035446126782,9.42445517523939e-06,5.718652974997235e-06,4.237345783932665e-06,7.063391044966874e-05,423.77490057629575
0.55,0.018013793089505375,0.00014604530927398533,9.852944343465366e-06,6.115614382793711e-06,4.4551941831157105e-06,7.25197988002361e-05,435.08795212422086
0.56,-0.03158244716674775,0.0001495648805834271,1.0161420970837765e-05,6.502959479156528e-06,4.632302344922749e-06,7.289682252172574e-05,437.34962428769563
0.5700000000000001,-0.034539807557445304,0.00015490208499515336,1.0584584719908353e-05,6.870515705111846e-06,4.774038772732645e-06,7.487718388324311e-05,449.2292412163148
0.58,-0.07102474459979405,0.0001643514549641139,1.1259291864807035e-05,7.2135216283549955e-06,4.8843363005591925e-06,8.02657157067175e-05,481.55248168115764
0.59,-0.01977526823813345,0.00017852205138686064,1.222298168845977e-05,7.534243990243358e-06,4.964978854658301e-06,8.95221150667595e-05,537.0739062876833
